Columns in this Dataset,,,
Column Name,Description,Type,
Clean Alternative Fuel Vehicle Type,"This distinguishes the vehicle as all electric, plug-in hybrid, or hydrogen powered.",Plain Text,
VIN (1-10),The 1st 10 characters of each vehicle's Vehicle Identification Number (VIN).,Plain Text,
DOL Vehicle ID,A unique identification number for each vehicle present in Transactions dataset. Transactions done on the same vehicle will have the same DOL Vehicle ID.,Plain Text,
Model Year,"The model year of the vehicle, determined by decoding the Vehicle Identification Number (VIN).",Number,
Make,"The manufacturer of the vehicle, determined by decoding the Vehicle Identification Number (VIN).",Plain Text,
Model,"The model of the vehicle, determined by decoding the Vehicle Identification Number (VIN).",Plain Text,
Vehicle Primary Use,This describes the primary intended use of the vehicle.,Plain Text,
Electric Range,This tells how far a vehicle can travel purely on its electric charge.,Number,
Odometer Reading,The odometer value taken at the time of the Title Transaction.,Number,
Odometer Code,The type of odometer value that was taken at the time of a Title Transaction.,Plain Text,
New or Used Vehicle,"If a vehicle is being sold by its manufacturer to its first owner, it is considered 'new'. Otherwise it is considered 'used'.",Plain Text,
Sale Price,The amount that was reported to have been paid for a vehicle. A value of zero indicates that the sale price was not available.,Number,
Sale Date,The day on which the vehicle changed ownership.,Date & Time,
Base MSRP,This is the lowest Manufacturer's Suggested Retail Price (MSRP) for any version of the model in question.,Number,
Transaction Type,The category of activity that was performed.,Plain Text,
DOL Transaction Date,The day upon which a transaction was recorded into Department of Licensing's computer system.,Date & Time,
Transaction Year,The year upon which a transaction was recorded into Department of Licensing's computer system.,Number,
County,The County that the vehicle's owner is listed to reside within.,Plain Text,
City,The City that the vehicle's owner is listed to reside within.,Plain Text,
State of Residence,This describes the residential or business location of the primary vehicle owner.,Plain Text,
Postal Code,The 5 digit zip code that the vehicle's owner is listed to reside within.,Plain Text,
2015 HB 2778 Exemption Eligibility,Shows if new vehicle title transactions were eligible for the sales tax exemption authorized by House Bill 2778 during the 2015 Legislative Session.,Plain Text,
2019 HB 2042 Clean Alternative Fuel Vehicle (CAFV) Eligibility,Shows if vehicle title transactions were eligible for the sales tax exemption authorized by House Bill 2042 during the 2019 Legislative Session.,Plain Text,
Meets 2019 HB 2042 Electric Range Requirement,"True (or checked) = The vehicle model can travel 30 miles or more solely on electricity. Otherwise, False.",Checkbox,
Meets 2019 HB 2042 Sale Date Requirement,"True (or checked) = The vehicle was sold on or after August 1, 2019. Otherwise, False.",Checkbox,
Meets 2019 HB 2042 Sale Price/Value Requirement,"True (or checked) = The vehicle sale price/value was $45,000 or less for new vehicles, or $30,000 or less for used vehicles. Otherwise, False.",Checkbox,
2019 HB 2042: Battery Range Requirement,"This field displays ‘Meets battery range requirement’ if the vehicle model can travel 30 miles or more solely on electricity. Otherwise, it will display the reason why the requirement is not met.",Plain Text,
2019 HB 2042: Purchase Date Requirement,"This field displays ‘Meets purchase date requirement’ for title transactions for vehicles sold on or after August 1, 2019. Otherwise, it will display the reason why the requirement is not met.",Plain Text,
2019 HB 2042: Sale Price/Value Requirement,"This field displays ‘Meets title transaction requirement’ when the vehicle sale price/value was $45,000 or less for new vehicles, or $30,000 or less for used vehicles. Otherwise, it will display the reason why the requirement is not met.",Plain Text,
Electric Vehicle Fee Paid,The Electric Vehicle Fee is charged to some electric vehicles when they renew their registration. This indicates if it was collected during the transaction.,Plain Text,
Transportation Electrification Fee Paid,The Transportation Electrification Fee is charged to some electric vehicles when they renew their registration. This indicates if it was collected during the transaction.,Plain Text,
Hybrid Vehicle Electrification Fee Paid,The Hybrid Vehicle Electrification Fee is charged to some electric vehicles when they renew their registration. This indicates if it was collected during the transaction.,Plain Text,
2020 Census Tract,"The census tract identifier is a combination of the state, county, and census tract codes as assigned by the United States Census Bureau in the 2020 census, also known as Geographic Identifier (GEOID). More information can be found here: https://www.census.gov/programs-surveys/geography/about/glossary.html#par_textimage_13 https://www.census.gov/programs-surveys/geography/guidance/geo-identifiers.html",Plain Text,
Legislative District,"The specific section of Washington State that the vehicle's owner resides in, as represented in the state legislature.",Plain Text,
Electric Utility,"This is the electric power retail service territories serving the address of the registered vehicle. All ownership types for areas in Washington are included: federal, investor owned, municipal, political subdivision, and cooperative. If the address for the registered vehicle falls into an area with overlapping electric power retail service territories then a single pipe | delimits utilities of same TYPE and a double pipe || delimits utilities of different types. We combined vehicle address and Homeland Infrastructure Foundation Level Database (HIFLD) (https://gii.dhs.gov/HIFLD) Retail_Service_Territories feature layer using a geographic information system to assign values for this field. Blanks occur for vehicles with addresses outside of Washington or for addresses falling into areas in Washington not containing a mapped electric power retail service territory in the source data.",,
